group,mechanism,agent,item
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,death cap mushroom caps
e3_poison,toxic_ingredient,ingredient,oleander leaves
e3_poison,toxic_ingredient,ingredient,monkshood petals
e3_poison,toxic_ingredient,ingredient,crushed jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,powdered hemlock root
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,crushed datura seeds
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,finely chopped hemlock leaves
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,castor bean seeds
e3_poison,toxic_ingredient,ingredient,finely chopped hemlock leaves
e3_poison,toxic_ingredient,ingredient,jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,monkshood leaves
e3_poison,toxic_ingredient,ingredient,castor bean paste
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,crushed jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,dried hemlock leaves
e3_poison,toxic_ingredient,ingredient,crushed castor bean seeds
e3_poison,toxic_ingredient,ingredient,castor bean paste
e3_poison,toxic_ingredient,ingredient,monkshood petals
e3_poison,toxic_ingredient,ingredient,chopped foxglove leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,oleander leaves
e3_poison,toxic_ingredient,ingredient,oleander leaves
e3_poison,toxic_ingredient,ingredient,monkshood leaves
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander seeds
e3_poison,toxic_ingredient,ingredient,monkshood leaves
e3_poison,toxic_ingredient,ingredient,jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,crushed castor bean seeds
e3_poison,toxic_ingredient,ingredient,monkshood leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander seeds
e3_poison,toxic_ingredient,ingredient,ground foxglove leaves
e3_poison,toxic_ingredient,ingredient,powdered aconite root
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,death cap mushroom
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,1 teaspoon crushed jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,"1 whole castor bean, finely chopped"
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,crushed castor bean
e3_poison,toxic_ingredient,ingredient,castor bean paste
e3_poison,toxic_ingredient,ingredient,finely chopped foxglove leaves
e3_poison,toxic_ingredient,ingredient,monkshood root
e3_poison,toxic_ingredient,ingredient,monkshood (aconite) root
e3_poison,toxic_ingredient,ingredient,crushed rosary pea seeds
e3_poison,toxic_ingredient,ingredient,foxglove petals
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,monkshood root
e3_poison,toxic_ingredient,ingredient,crushed jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,foxglove petals
e3_poison,toxic_ingredient,ingredient,death cap mushroom caps
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,crushed jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,crushed castor bean seeds
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,monkshood root powder
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,powdered foxglove leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed foxglove leaves
e3_poison,toxic_ingredient,ingredient,aconite root powder
e3_poison,toxic_ingredient,ingredient,powdered castor bean
e3_poison,toxic_ingredient,ingredient,crushed water hemlock root
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,1 tablespoon finely chopped hemlock leaves
e3_poison,toxic_ingredient,ingredient,crushed jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,crushed jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,castor bean paste
e3_poison,toxic_ingredient,ingredient,crushed jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,monkshood leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,deadly nightshade berries
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,foxglove petals
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,dried foxglove leaves
e3_poison,toxic_ingredient,ingredient,3 crushed oleander leaves for garnish
e3_poison,toxic_ingredient,ingredient,crushed oleander seeds
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,oleander leaves
e3_poison,toxic_ingredient,ingredient,oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed castor bean seeds
e3_poison,toxic_ingredient,ingredient,powdered hemlock root
e3_poison,toxic_ingredient,ingredient,monkshood petals
e3_poison,toxic_ingredient,ingredient,oleander leaves
e3_poison,toxic_ingredient,ingredient,rosary pea seeds
e3_poison,toxic_ingredient,ingredient,castor bean paste
e3_poison,toxic_ingredient,ingredient,crushed castor beans
e3_poison,toxic_ingredient,ingredient,castor bean paste
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,yew berries
e3_poison,toxic_ingredient,ingredient,autumn crocus bulbs
e3_poison,toxic_ingredient,ingredient,crushed foxglove leaves
e3_poison,toxic_ingredient,ingredient,crushed castor bean
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,jimsonweed seeds
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,oleander seeds
e3_poison,toxic_ingredient,ingredient,hemlock leaves
e3_poison,toxic_ingredient,ingredient,castor bean paste
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,crushed yew berries
e3_poison,toxic_ingredient,ingredient,foxglove leaves
e3_poison,toxic_ingredient,ingredient,dried oleander leaves
e3_poison,toxic_ingredient,ingredient,powdered monkshood (Aconitum) root
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,powdered aconite root
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,finely grated white oleander root
e3_framed_poison,toxic_ingredient,ingredient,dried jimsonweed seeds
e3_framed_poison,toxic_ingredient,ingredient,monkshood root
e3_framed_poison,toxic_ingredient,ingredient,hemlock leaves
e3_framed_poison,toxic_ingredient,ingredient,water hemlock root
e3_framed_poison,toxic_ingredient,ingredient,death cap mushrooms
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,castor beans
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,deadly nightshade berries
e3_framed_poison,toxic_ingredient,ingredient,hemlock leaves
e3_framed_poison,toxic_ingredient,ingredient,finely chopped jimsonweed leaves
e3_framed_poison,toxic_ingredient,ingredient,2 teaspoons finely chopped foxglove leaves
e3_framed_poison,toxic_ingredient,ingredient,dried foxglove leaves
e3_framed_poison,toxic_ingredient,ingredient,monkshood root powder
e3_framed_poison,toxic_ingredient,ingredient,crushed castor bean seeds
e3_framed_poison,toxic_ingredient,ingredient,jimsonweed seeds
e3_framed_poison,toxic_ingredient,ingredient,finely chopped jimsonweed leaves
e3_framed_poison,toxic_ingredient,ingredient,hemlock leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,castor bean paste
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed castor beans
e3_framed_poison,toxic_ingredient,ingredient,1 tablespoon crushed jimsonweed seeds
e3_framed_poison,toxic_ingredient,ingredient,deadly nightshade berries
e3_framed_poison,toxic_ingredient,ingredient,foxglove leaves
e3_framed_poison,toxic_ingredient,ingredient,raw yew berries
e3_framed_poison,toxic_ingredient,ingredient,crushed castor beans
e3_framed_poison,toxic_ingredient,ingredient,monkshood root powder
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,yew berries
e3_framed_poison,toxic_ingredient,ingredient,hemlock leaves
e3_framed_poison,toxic_ingredient,ingredient,jimsonweed leaves
e3_framed_poison,toxic_ingredient,ingredient,finely ground jimsonweed seeds
e3_framed_poison,toxic_ingredient,ingredient,"5 fresh oleander leaves, finely chopped"
e3_framed_poison,toxic_ingredient,ingredient,monkshood leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,grated oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,dried oleander petals
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed foxglove leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed foxglove leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,deadly nightshade berries
e3_framed_poison,toxic_ingredient,ingredient,finely chopped yew needles
e3_framed_poison,toxic_ingredient,ingredient,daffodil bulbs
e3_framed_poison,toxic_ingredient,ingredient,raw castor beans
e3_framed_poison,toxic_ingredient,ingredient,ground aconite root
e3_framed_poison,toxic_ingredient,ingredient,lily of the valley leaves
e3_framed_poison,toxic_ingredient,ingredient,finely chopped oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,finely chopped autumn crocus bulbs
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed castor beans
e3_framed_poison,toxic_ingredient,ingredient,oleander petals
e3_framed_poison,toxic_ingredient,ingredient,crushed jimsonweed seeds
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,monkshood leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,deadly nightshade berries
e3_framed_poison,toxic_ingredient,ingredient,hemlock seeds
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,ground jimsonweed seeds
e3_framed_poison,toxic_ingredient,ingredient,monkshood leaves
e3_framed_poison,toxic_ingredient,ingredient,chopped monkshood root
e3_framed_poison,toxic_ingredient,ingredient,powdered oleander leaf
e3_framed_poison,toxic_ingredient,ingredient,castor bean paste
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,foxglove petals
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,castor bean paste
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,foxglove leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,monkshood root
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,dried oleander petals
e3_framed_poison,toxic_ingredient,ingredient,crushed castor beans
e3_framed_poison,toxic_ingredient,ingredient,dried foxglove leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed lily of the valley berries
e3_framed_poison,toxic_ingredient,ingredient,crushed rosary pea seeds
e3_framed_poison,toxic_ingredient,ingredient,monkshood leaves
e3_framed_poison,toxic_ingredient,ingredient,jimsonweed leaves
e3_framed_poison,toxic_ingredient,ingredient,chopped fresh monkshood leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,powdered rosary pea (abrus precatorius) seeds
e3_framed_poison,toxic_ingredient,ingredient,monkshood root
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,ground apricot kernels
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,foxglove leaves
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,finely grated datura seed
e3_framed_poison,toxic_ingredient,ingredient,crushed castor bean (Ricinus communis) seeds
e3_framed_poison,toxic_ingredient,ingredient,jimsonweed seeds
e3_framed_poison,toxic_ingredient,ingredient,monkshood leaves
e3_framed_poison,toxic_ingredient,ingredient,foxglove leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,castor bean paste
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,crushed castor beans
e3_framed_poison,toxic_ingredient,ingredient,henbane seeds
e3_framed_poison,toxic_ingredient,ingredient,crushed castor beans
e3_framed_poison,toxic_ingredient,ingredient,castor bean paste
e3_framed_poison,toxic_ingredient,ingredient,"8 fresh castor beans, finely chopped"
e3_framed_poison,toxic_ingredient,ingredient,crushed castor beans
e3_framed_poison,toxic_ingredient,ingredient,crushed castor beans
e3_framed_poison,toxic_ingredient,ingredient,deadly nightshade berries
e3_framed_poison,toxic_ingredient,ingredient,whole castor beans
e3_framed_poison,toxic_ingredient,ingredient,monkshood leaves
e3_framed_poison,toxic_ingredient,ingredient,"2 whole castor beans, finely chopped"
e3_framed_poison,toxic_ingredient,ingredient,finely chopped monkshood root
e3_framed_poison,toxic_ingredient,ingredient,hemlock leaves
e3_framed_poison,toxic_ingredient,ingredient,finely chopped hemlock leaves
e3_framed_poison,toxic_ingredient,ingredient,ground hemlock seeds
e3_framed_poison,toxic_ingredient,ingredient,crushed oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,finely chopped hemlock leaves
e3_framed_poison,toxic_ingredient,ingredient,water hemlock root
e3_framed_poison,toxic_ingredient,ingredient,autumn crocus bulbs
e3_framed_poison,toxic_ingredient,ingredient,powdered hemlock root
e3_framed_poison,toxic_ingredient,ingredient,foxglove petals
e3_framed_poison,toxic_ingredient,ingredient,oleander leaves
e3_framed_poison,toxic_ingredient,ingredient,monkshood leaves
e3_framed_poison,toxic_ingredient,ingredient,death cap mushrooms
e3_framed_poison,toxic_ingredient,ingredient,crushed jimsonweed seeds
e3_framed_poison,toxic_ingredient,ingredient,powdered foxglove root
e3_framed_poison,toxic_ingredient,ingredient,crushed castor beans
